,smiles1,smiles2
0,Nc1ccc(I)cc1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
1,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,Cc1c(C)c(C)c(C)c(C)c1C
2,CN1C=Nc2c(N)ncnc12,CN1C=C(C)C(=O)NC1=O
3,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,FC1=C(F)C(=O)C(=C(F)C1=O)F
4,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,c1ccc2cc3ccccc3cc2c1
5,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,Brc1cc(Br)c(Br)cc1Br
6,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,CC1=CNc2ccccc12
7,OCC1OC(C(O)C1O)N1C=C(Br)C(=O)NC1=O,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O
8,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc2cc3ccccc3cc2c1
9,NC1=NC(=O)N(C=C1Br)C1CC(O)C(CO)O1,Nc1nc(O)c2N=CN(C3CC(O)C(CO)O3)c2n1
10,NC1=NC=CC(=O)N1,NC1=NC(=O)C=CN1
11,Cc1cccc(C)n1,NC(N)=O
12,CN1C(=O)N(C)C2=C(N(C)C(=O)N2C)C1=O,c1cc2ccc3cccc4ccc(c1)c2c34
13,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12
14,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,CN(C)c1ccc(cc1)N(C)C
15,Oc1ccc(O)cc1,O=C1C=CC(=O)C=C1
16,COc1c(Cl)cc2c(N(C)C3N4C(=O)[C@@]5(C)SS[C@]4(C(O)[C@]23O)C(=O)N5C)c1OC,BrCBr
17,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,C1=Cc2ccc3C=Cc4ccc(C=C1)c2c34
18,CN1C=C(Br)C(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
19,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,CN(C)c1nc(nc(n1)N(C)C)N(C)C
20,CN1C=C(Br)C(=O)NC1=O,CN1C=Nc2c(N)ncnc12
21,CC(Oc1cccc(Br)c1)C(O)=O,COc1cccc(OC(C)C(O)=O)c1
22,Oc1ccc(Br)cc1,O=C1C=CC(=O)C=C1
23,Oc1ccc(Cl)cc1,O=C1C=CC(=O)C=C1
24,OP(O)(O)=O,NC(N)=O
25,c1ccc2ccccc2c1,N#CC(C#N)=C(C#N)C#N
