csd_id,name,smiles1,smiles2,year,functionality,group
IANNOB,p-Iodoaniline-S-trinitrobenzene complex,C1=CC(=CC=C1N)I,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],1943,weak_bond,1
CLAHMB,Chloranil-hexamethylbenzene complex,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,CC1=C(C(=C(C(=C1C)C)C)C)C,1962,weak_bond,1
MTHMAD,9-Methyladenine-1-methylthymine complex,CN1C=NC2=C(N=CN=C21)N,CC1=CN(C(=O)NC1=O)C,1963,h-bond,2
PERFAN,Perylene-fluoranil complex,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,C1(=C(C(=O)C(=C(C1=O)F)F)F)F,1963,weak_bond,1
ANCTNB,Anthracene trinitrobenzene,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C1=CC=C2C=C3C=CC=CC3=CC2=C1,1964,weak_bond,1
HBTBBZ,"Hexabromobenzene-1,2,4,5-tetrabromobenzene complex",C1(=C(C(=C(C(=C1Br)Br)Br)Br)Br)Br,C1=C(C(=CC(=C1Br)Br)Br)Br,1964,weak_bond,1
SKTNIB,Skatole s-trinitrobenzene,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],CC1=CNC2=CC=CC=C12,1964,weak_bond,1
ADBURM,Adenosine-5-bromouridine monohydrate,C1=C(C(=O)NC(=O)N1C2C(C(C(O2)CO)O)O)Br,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,1965,h-bond,2
ANTPML,Anthracene-pyromellitic dianhydride complex,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,C1=CC=C2C=C3C=CC=CC3=CC2=C1,1965,weak_bond,1
DGUBCY,Deoxyguanosine-5-bromodeoxycytidine complex,C1C(C(OC1N2C=C(C(=NC2=O)N)Br)CO)O,C1C(C(OC1N2C=NC3=C2N=C(NC3=O)N)CO)O,1965,h-bond,2
ICYTIN,Isocytosine,C1=CN=C(NC1=O)N,C1=CN=C(NC1=O)N,1965,h-bond,2
LUTDUR,"2,6-Lutidine urea",CC1=NC(=CC=C1)C,C(=O)(N)N,1965,weak_bond,1
MURPYR,"1,3,7,9-Tetramethyluric acid pyrene complex",CN1C2=C(N(C1=O)C)N(C(=O)N(C2=O)C)C,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,1965,weak_bond,1
PERPML,Perylene-pyromellitic dianhydride complex,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,C1=C2C(=CC3=C1C(=O)OC3=O)C(=O)OC2=O,1965,weak_bond,1
QMEPHE,"7,7,8,8-Tetracyanoquinodimethane-N,N,N',N'-tetramethyl-p-phenylenediamine complex",C1=CC(=C(C#N)C#N)C=CC1=C(C#N)C#N,CN(C)C1=CC=C(C=C1)N(C)C,1965,weak_bond,1
QUIDON,Quinhydrone,C1=CC(=CC=C1O)O,C1=CC(=O)C=CC1=O,1965,h-bond,2
SPORMB,Sporidesmin-methylene dibromide adduct,C[C@@]12C(=O)N3C4[C@](C([C@]3(C(=O)N1C)SS2)O)(C5=CC(=C(C(=C5N4C)OC)OC)Cl)O,C(Br)Br,1965,halogen_bond,3
APANBZ,Acepleiadylene-s-trinitrobenzene complex,C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C1=CC=C2C=CC3=CC=C4C3=C2C(=C1)C=C4,1966,weak_bond,1
ETAMBU10,9-Ethyladenine-1-methyl-5-bromouracil complex,CN1C=C(C(=O)NC1=O)Br,CCN1C=NC2=C(N=CN=C21)N,1966,halogen_bond,3
MAAZNB,"2,4,6-Tri(dimethylamino)-1,3,5-triazine-s-trinitrobenzene",C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,1966,weak_bond,1
MBUMAD10,1-Methyl-5-bromouracil-9-methyladenine,CN1C=C(C(=O)NC1=O)Br,CN1C=NC2=C(N=CN=C21)N,1966,weak_bond,1
MPBOPA,(+)-m-Methoxyphenoxypropionic acid-(-)-m-bromophenoxypropionic acid,CC(C(=O)O)OC1=CC(=CC=C1)Br,CC(C(=O)O)OC1=CC=CC(=C1)OC,1966,h-bond,2
BNQBRP,p-Benzoquinone-p-bromophenol complex,C1=CC(=CC=C1O)Br,C1=CC(=O)C=CC1=O,1967,h-bond,2
BNQCLP,p-Benzoquinone-p-chlorophenol complex,C1=CC(=CC=C1O)Cl,C1=CC(=O)C=CC1=O,1967,h-bond,2
CRBAMP10,Urea phosphoric acid,OP(=O)(O)O,C(=O)(N)N,1967,h-bond,2
CYENAP,Tetracyanoethylene-naphthalene complex,C1=CC=C2C=CC=CC2=C1,C(#N)C(=C(C#N)C#N)C#N,1967,weak_bond,1
EGMCYT10,9-Ethylguanine-1-methylcytosine complex,CCN1C=NC2=C1N=C(NC2=O)N,CN1C=CC(=NC1=O)N,1967,h-bond,2
EGMFCY10,9-Ethylguanine-1-methyl-5-fluorocytosine complex,CCN1C=NC2=C1N=C(NC2=O)N,CN1C=C(C(=NC1=O)N)F,1967,h-bond,2
ETABFU,9-Ethyladenine-1-methyl-5-fluorouracil,CCN1C=NC2=C(N=CN=C21)N,CN1C=C(C(=O)NC1=O)F,1967,h-bond,2
FUREHX,5-Fluorouracil-9-ethylhypoxanthine,CCN1C=NC2=C1N=CNC2=O,C1=C(C(=O)NC(=O)N1)F,1967,h-bond,2
HQUCLA,8-Hydroxyquinoline-chloranil complex,C1(=C(C(=O)C(=C(C1=O)Cl)Cl)Cl)Cl,C1=CC2=C(C(=C1)O)N=CC=C2,1967,h_bond,2
TMUBZP10,"1,3,7,9-Tetramethyluric acid-3,4-benzpyrene complex",C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,CN1C2=C(N(C1=O)C)N(C(=O)N(C2=O)C)C,1967,weak_bond,1
TPDTCB,"N,N,N',N'-Tetramethyl-p-phenylenediamine-1,2,4,5-tetracyanobenzene complex",C1=C(C(=CC(=C1C#N)C#N)C#N)C#N,CN(C)C1=CC=C(C=C1)N(C)C,1967,weak_bond,1
BARAAD,"5-ethyl-5-phenylpyrimidine-2,4,6(1H,3H,5H)-trione 8-bromo-9-ethyl-9H-purin-6-amine",CCN1C2=NC=NC(=C2N=C1Br)N,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2,1968,h-bond,2
BEPYRZ10,pyrazine tetrabromoethene,C(=C(Br)Br)(Br)Br,C1=CN=CC=N1,1968,halogen_bond,3
CAFSAL,Caffeine-5-chlorosalicylic acid complex,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,C1=CC(=C(C=C1Cl)C(=O)O)O,1968,h-bond,2
