csd_id,name,smiles1,smiles2,year,functionality,group
IANNOB,p-Iodoaniline-S-trinitrobenzene complex,Nc1ccc(I)cc1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1943,weak_bond,1
CLAHMB,Chloranil-hexamethylbenzene complex,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,Cc1c(C)c(C)c(C)c(C)c1C,1962,weak_bond,1
MTHMAD,9-Methyladenine-1-methylthymine complex,CN1C=Nc2c(N)ncnc12,CN1C=C(C)C(=O)NC1=O,1963,h-bond,2
PERFAN,Perylene-fluoranil complex,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,FC1=C(F)C(=O)C(=C(F)C1=O)F,1963,weak_bond,1
ANCTNB,Anthracene trinitrobenzene,c1ccc2cc3ccccc3cc2c1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1964,weak_bond,1
HBTBBZ,"Hexabromobenzene-1,2,4,5-tetrabromobenzene complex",Brc1c(Br)c(Br)c(Br)c(Br)c1Br,Brc1cc(Br)c(Br)cc1Br,1964,weak_bond,1
SKTNIB,Skatole s-trinitrobenzene,CC1=CNc2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1964,weak_bond,1
ADBURM,Adenosine-5-bromouridine monohydrate,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,OCC1OC(C(O)C1O)N1C=C(Br)C(=O)NC1=O,1965,h-bond,2
ANTPML,Anthracene-pyromellitic dianhydride complex,c1ccc2cc3ccccc3cc2c1,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,1965,weak_bond,1
DGUBCY,Deoxyguanosine-5-bromodeoxycytidine complex,Nc1nc(O)c2N=CN(C3CC(O)C(CO)O3)c2n1,NC1=NC(=O)N(C=C1Br)C1CC(O)C(CO)O1,1965,h-bond,2
ICYTIN,Isocytosine,NC1=NC(=O)C=CN1,NC1=NC=CC(=O)N1,1965,h-bond,2
LUTDUR,"2,6-Lutidine urea",NC(N)=O,Cc1cccc(C)n1,1965,weak_bond,1
