csd_id,smiles1,smiles2
IANNOB,Nc1ccc(I)cc1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
CLAHMB,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,Cc1c(C)c(C)c(C)c(C)c1C
MTHMAD,CN1C=Nc2c(N)ncnc12,CN1C=C(C)C(=O)NC1=O
PERFAN,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,FC1=C(F)C(=O)C(=C(F)C1=O)F
ANCTNB,c1ccc2cc3ccccc3cc2c1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
HBTBBZ,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,Brc1cc(Br)c(Br)cc1Br
SKTNIB,CC1=CNc2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
ADBURM,Nc1ncnc2N(C=Nc12)C1OC(CO)C(O)C1O,OCC1OC(C(O)C1O)N1C=C(Br)C(=O)NC1=O
ANTPML,c1ccc2cc3ccccc3cc2c1,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12
DGUBCY,Nc1nc(O)c2N=CN(C3CC(O)C(CO)O3)c2n1,NC1=NC(=O)N(C=C1Br)C1CC(O)C(CO)O1
ICYTIN,NC1=NC(=O)C=CN1,NC1=NC=CC(=O)N1
MURPYR,CN1C(=O)N(C)C2=C(N(C)C(=O)N2C)C1=O,c1cc2ccc3cccc4ccc(c1)c2c34
PERPML,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45
QUIDON,O=C1C=CC(=O)C=C1,Oc1ccc(O)cc1
SPORMB,COc1c(Cl)cc2c(N(C)C3N4C(=O)C5(C)SSC4(C(O)C23O)C(=O)N5C)c1OC,BrCBr
APANBZ,C1=Cc2ccc3C=Cc4ccc(C=C1)c2c34,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
ETAMBU10,CCN1C=Nc2c(N)ncnc12,CN1C=C(Br)C(=O)NC1=O
MAAZNB,CN(C)c1nc(nc(n1)N(C)C)N(C)C,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
MBUMAD10,CN1C=Nc2c(N)ncnc12,CN1C=C(Br)C(=O)NC1=O
BNQBRP,Oc1ccc(Br)cc1,O=C1C=CC(=O)C=C1
BNQCLP,Oc1ccc(Cl)cc1,O=C1C=CC(=O)C=C1
CRBAMP10,OP(O)(O)=O,NC(N)=O
CYENAP,N#CC(C#N)=C(C#N)C#N,c1ccc2ccccc2c1
EGMCYT10,CCN1C=NC2=C1N=C(N)NC2=O,CN1C=CC(=NC1=O)N
EGMFCY10,CCN1C=NC2=C1N=C(N)NC2=O,CN1C=C(F)C(=NC1=O)N
ETABFU,CN1C=C(F)C(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
FUREHX,CCN1C=NC2=C1N=CNC2=O,FC1=CNC(=O)NC1=O
HQUCLA,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,Oc1cccc2cccnc12
TMUBZP10,CN1C(=O)N(C)C2=C(N(C)C(=O)N2C)C1=O,c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34
TPDTCB,CN(C)c1ccc(cc1)N(C)C,N#Cc1cc(C#N)c(cc1C#N)C#N
BARAAD,CCC1(C(=O)NC(=O)NC1=O)c1ccccc1,CCN1C(=Nc2c(N)ncnc12)Br
BEPYRZ10,BrC(Br)=C(Br)Br,c1cnccn1
CAFSAL,OC(=O)c1cc(Cl)ccc1O,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
IETPYA10,IC(I)=C(I)I,c1cnccn1
PHENQU,Oc1ccccc1,O=C1C=CC(=O)C=C1
TCQANT,c1ccc2cc3ccccc3cc2c1,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
TCQPDA,CN(C)c1ccc(cc1)N(C)C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
TMABCA,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,CN(C)c1ccc(cc1)N(C)C
BURBAD,CCN1C(=Nc2c(N)ncnc12)Br,CN1C=C(Br)C(=O)NC1=O
BUREAP,CCN1C=Nc2cnc(N)nc12,CN1C=C(Br)C(=O)NC1=O
CSATEO,OC(=O)c1cc(Cl)ccc1O,CN1C(=O)N(C)C2=C(NC=N2)C1=O
CYTFUR,FC1=CNC(=O)NC1=O,NC1=NC(=O)NC=C1
EBAEBH,CCN1C(=Nc2c(N)ncnc12)Br,CCN1C(=NC2=C1N=CNC2=O)Br
FUREAP,CN1C=C(F)C(=O)NC1=O,CCN1C=Nc2cnc(N)nc12
FURMCY,FC1=CNC(=O)NC1=O,CN1C=CC(=NC1=O)N
IMUEAD,CN1C=C(I)C(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
MIUDAP10,CN1C=C(I)C(=O)NC1=O,CCN1C=Nc2c(N)nc(N)nc12
PHNSNB10,N1c2ccccc2Sc2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
PYRPMA01,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1cc2ccc3cccc4ccc(c1)c2c34
TESBRP,Oc1ccc(Br)cc1,CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O
TPPOSE,Cl[Se](Cl)=O,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
BZQRES,Oc1cccc(O)c1,O=C1C=CC(=O)C=C1
CMHMBZ,Cc1c(C)c(C)c(C)c(C)c1C,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
EBPETY,CCN1C=C(C)C(=O)NC1=O,CCN1C(=Nc2c(N)nc(N)nc12)Br
EBPMUR,CCN1C(=Nc2c(N)nc(N)nc12)Br,CN1C=CC(=O)NC1=O
HMTTPO10,C1N2CN3CN1CN(C2)C3,Oc1ccccc1
NIBZAM,Nc1cc(N)cc(N)c1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
PERTCE10,c1cc2cccc3c4cccc5cccc(c(c1)c23)c45,N#CC(C#N)=C(C#N)C#N
ANCPOL,Oc1cc(Cl)c(Cl)cc1Cl,Nc1ccccc1
ANLPCP,Nc1ccccc1,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
BAZCLH,OC(O)C(Cl)(Cl)Cl,CN1C(=O)CN=C(c2ccccc2)c2cc(Br)ccc12
BFHMTA,C1N2CN3CN1CN(C2)C3,BrC(Br)Br
CSATBR,OC(=O)c1cc(Cl)ccc1O,CN1C=NC2=C1C(=O)NC(=O)N2C
GLUCUR20,NC(N)=O,OCC1OC(O)C(O)C(O)C1O
HQUNBZ,Oc1cccc2cccnc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
MTYHFB,Cc1cc(C)cc(C)c1,Fc1c(F)c(F)c(F)c(F)c1F
PACTCN10,C1Cc2ccc(CCCc3ccc(C1)cc3)cc2,N#CC(C#N)=C(C#N)C#N
PASOCT10,O=[As](c1ccccc1)(c1ccccc1)c1ccccc1,Oc1c(O)c(Cl)c(Cl)c(Cl)c1Cl
PHLBZQ,O=C1C=CC(=O)C=C1,Oc1cc(O)cc(O)c1
PYOCHP,Oc1cccc(Cl)n1,O=C1NC=CC=C1
QQQEYV01,CCC1(CC)C(=O)NC(=O)NC1=O,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O
STHSAM01,Nc1ccc(cc1)S(=O)(=O)N=C1NC=CS1,Nc1ccc(cc1)S(N)(=O)=O
SULTHE01,Nc1ccc(cc1)S(=O)(=O)N=C1NC=CS1,CN1C(=O)N(C)C2=C(NC=N2)C1=O
SURMAD10,CN1C=Nc2c(N)ncnc12,CN1C=CC(=S)NC1=O
THYBNZ10,CC1=CNC(=O)NC1=O,O=C1C=CC(=O)C=C1
ANTCYB,c1ccc2cc3ccccc3cc2c1,N#Cc1cc(C#N)c(cc1C#N)C#N
BTFZEP01,CCOP(=O)(OCC)OCC,O1N=C2C(=N1)C1=NON=C1C1=NON=C21
BZPPAM,N(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1
EADBAC,CC(C)C1(CC(Br)=C)C(=O)NC(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
EADBAR10,CCC1(CC)C(=O)NC(=O)NC1=O,CCN1C=Nc2c(N)ncnc12
ESOURE10,NC(N)=O,CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O
NINTHT,O=S1CCCC1,OC1C(O)C(C(O)C(O)C1N(=O)=O)N(=O)=O
TNBFBT,O=CC1=CSc2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
URNFRO,ON=CC1=CC=C(O1)N(=O)=O,NC(N)=O
ACNTCB,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,C1Cc2cccc3cccc1c23
ACNTCQ,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,C1Cc2cccc3cccc1c23
BZASUC,NC(=O)c1ccccc1,OC(=O)CCC(O)=O
DMPTCN,CN(C)c1ccc(N)cc1,N#Cc1cc(C#N)c(cc1C#N)C#N
FURAOX,OC(=O)C(O)=O,NC(=O)C1=CC=CO1
MBZDCN,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,CN(C)c1ccc(cc1)c1ccc(cc1)N(C)C
MBZFBZ01,Cc1c(C)c(C)c(C)c(C)c1C,Fc1c(F)c(F)c(F)c(F)c1F
PDTCNB,Nc1ccc(N)cc1,N#Cc1cc(C#N)c(cc1C#N)C#N
PMPZOL,CC1=NN(C(=C1)O)c1ccccc1,CC1=CC(=O)N(N1)c1ccccc1
PYRCBZ,N#Cc1cc(C#N)c(cc1C#N)C#N,c1cc2ccc3cccc4ccc(c1)c2c34
PYRCLN,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl,c1cc2ccc3cccc4ccc(c1)c2c34
PYRTNB,c1cc2ccc3cccc4ccc(c1)c2c34,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O
SALCYS,OC(=O)c1ccccc1O,NC1=NC(=O)N(C=C1)C1OC(CO)C(O)C1O
TCQBDX,O1c2ccccc2Oc2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
TCQPEN10,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,c1ccc2N=C3C=CC=CC3=Nc2c1
AMBSAM10,NC(=O)c1ccccc1O,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O
AMPCYB,CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,CN(C)C1=C(C)N(C)N(c2ccccc2)C1=O
APYSAL,OC(=O)c1ccccc1O,CN1N(C(=O)C=C1C)c1ccccc1
BARAPY10,CCC1(CC)C(=O)NC(=O)NC1=O,Nc1ccccn1
BARBAM,CC(N)=O,CCC1(CC)C(=O)NC(=O)NC1=O
BARHMP,CCC1(CC)C(=O)NC(=O)NC1=O,CN(C)P(=O)(N(C)C)N(C)C
BARIMZ10,CCC1(CC)C(=O)NC(=O)NC1=O,N1C=CN=C1
BARMPN,CCC1(CC)C(=O)NC(=O)NC1=O,CN1C=CC=CC1=O
BNZTNB,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,Nc1ccc(cc1)c1ccc(N)cc1
BZTCNQ,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N,Nc1ccc(cc1)c1ccc(N)cc1
CAFBAR20,CCC1(CC)C(=O)NC(=O)NC1=O,CN1C=NC2=C1C(=O)N(C)C(=O)N2C
CAPRES,O=C1CCCCCN1,Oc1ccc(Cl)c(O)c1
CHRTCQ,c1ccc2c(c1)ccc1c3ccccc3ccc21,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
LUMNPO20,Oc1cc2ccccc2cc1O,CN1c2cc(C)c(C)cc2N=C2C(=O)NC(=O)N=C12
MALTPO,CC(C)(C(O)=O)C(O)=O,O=P(c1ccccc1)(c1ccccc1)c1ccccc1
PALXND10,CCCN1c2ccccc2N=C2C(=O)NC(=O)N=C12,Oc1cc2ccccc2cc1O
PTZTCQ,N1c2ccccc2Sc2ccccc12,N#CC(C#N)=C1C=CC(C=C1)=C(C#N)C#N
PYMAST,O=C1OC(=O)c2cc3C(=O)OC(=O)c3cc12,c1ccc(cc1)C=Cc1ccccc1
TNFLMB,Cc1c(C)c(C)c(C)c(C)c1C,O=C1c2cc(ccc2c2c1cc(cc2N(=O)=O)N(=O)=O)N(=O)=O
