year,publications_cocrystal,publications_cocrystal_electronic
2020,798,40
2019,754,29
2018,721,21
2017,620,20
2016,575,12
2015,504,18
2014,559,17
2013,454,9
2012,386,5
2011,399,6
2010,295,3
2009,288,8
2008,279,1
2007,213,5
2006,189,1
2005,142,1
2004,89,3
2003,92,1
2002,89,1
2001,83,1
2000,74,2
1999,59,0
1998,64,2
1997,51,2
1996,46,0
1995,44,0
1994,37,1
1993,16,0
1992,18,1
1991,17,1
1990,3,0
1989,3,0
1988,6,0
1987,3,0
1986,1,0
1985,1,0
1984,2,0
1983,4,0
1982,0,0
1981,1,0
1980,1,0
1979,0,0
1978,0,0
1977,0,0
1976,1,0
1975,1,0
1974,1,0
1973,0,0
1972,0,0
1971,1,0
1970,0,0
1969,1,0
1968,0,0
1967,1,0
1966,1,0
1965,1,0
1964,0,0
1963,0,0
1962,0,0
1961,0,0
1960,0,0
1959,0,0
1958,0,0
1957,0,0
1956,1,0
